ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
A1BG,8,10,12,3,7,5,9,6
A1BG-AS1,38,48,45,44,22,37,44,55
A1CF,0,0,0,0,1,2,0,0
A2M,20085,15449,32043,26789,2367,9980,32109,33532
A2M-AS1,49,34,26,12,20,22,22,15
A2ML1,0,0,2,0,3,5,2,0
A2ML1-AS1,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0
A2MP1,1,2,1,0,2,0,2,0
A3GALT2,0,0,0,0,1,1,0,0
A4GALT,834,1163,1381,1036,1334,1825,944,1738
A4GNT,3,6,12,5,0,1,15,7
AAAS,780,726,968,527,802,880,661,689
AACS,399,271,427,237,399,451,384,329
AACSP1,0,0,0,0,0,0,0,0
AADAC,3,3,3,4,2,2,1,1
AADACL2,1,1,1,0,1,0,1,1
AADACL2-AS1,0,0,0,0,0,0,1,2
AADACL3,0,0,0,0,0,0,0,0
AADACL4,3,9,8,7,0,3,5,14
AADACP1,1,0,0,0,1,0,0,1
AADAT,171,135,142,37,215,166,155,91
AAGAB,680,575,987,509,978,1021,651,563
AAK1,287,235,396,145,360,482,316,278
AAMDC,89,117,144,79,102,170,79,141
AAMP,1343,1537,1420,882,1368,2046,1090,1411
AANAT,0,0,2,0,2,2,1,2
AAR2,702,672,745,500,732,1052,554,704
AARD,1,2,0,2,0,2,0,6
AARS1,3182,2079,3968,1621,3744,3431,4054,2013
AARS1P1,0,0,0,0,0,0,0,0
AARS2,576,301,535,126,498,415,319,205
AARSD1,12,14,14,4,13,12,10,6
AARSD1P1,2,4,2,1,1,2,4,1
AASDH,277,210,344,176,305,391,289,271
AASDHPPT,491,480,582,368,618,690,458,452
AASS,494,949,565,655,451,1037,447,1103
AATBC,3,1,12,2,5,3,7,1
AATK,4,3,5,1,2,2,11,2
ABAT,302,635,352,453,375,916,297,676
ABCA1,5601,5304,8659,5618,11019,11406,8191,10122
ABCA10,252,118,299,66,255,73,161,52
ABCA11P,6,3,8,12,12,16,9,3
ABCA12,10,3,11,3,7,4,4,0
ABCA13,19,10,55,22,79,115,39,31
ABCA17P,6,1,10,1,0,3,8,1
ABCA2,1242,837,1520,733,1433,2426,1409,1431
ABCA3,123,72,225,141,62,76,149,207
ABCA4,13,36,41,38,16,89,30,52
ABCA5,332,330,607,392,417,448,535,394
ABCA6,1514,2686,1781,2306,1782,3414,1638,3794
ABCA7,159,92,252,65,241,174,145,86
ABCA8,4082,4566,4774,2698,5423,5444,3485,3951
ABCA9,1117,1539,2227,1614,1844,1825,2196,2717
ABCA9-AS1,1,0,0,0,0,0,0,0
ABCB1,92,44,181,76,131,107,121,57
ABCB10,279,283,310,239,296,471,252,335
ABCB10P3,0,0,0,0,0,0,1,0
ABCB10P4,1,0,0,0,1,1,2,0
ABCB11,0,0,0,0,0,0,0,0
ABCB4,64,18,60,17,21,18,52,22
ABCB5,23,3,70,11,8,9,22,5
ABCB6,33,38,23,17,25,29,16,17
ABCB7,297,233,359,179,381,368,283,240
ABCB8,603,556,662,372,667,829,461,450
ABCB9,88,41,85,36,74,48,63,35
ABCC1,6228,4589,6411,2742,7477,6281,4875,3630
ABCC10,596,556,745,356,498,686,451,479
ABCC11,5,4,3,4,17,1,7,16
ABCC12,0,0,1,0,0,0,0,2
ABCC13,0,0,0,0,0,0,0,0
ABCC2,18,21,9,9,14,11,14,22
ABCC3,237,341,322,266,424,1212,310,423
ABCC4,1234,1265,913,931,1793,2932,719,1185
ABCC5,1030,912,1073,842,1313,1803,913,1400
ABCC5-AS1,0,0,0,0,0,0,1,1
ABCC6,136,59,207,53,224,165,155,57
ABCC6P1,58,20,59,14,66,42,48,15
ABCC6P2,36,22,26,9,14,14,31,11
ABCC8,0,0,0,0,0,0,0,0
ABCC9,435,769,688,863,438,1125,769,1537
ABCD1,441,474,591,314,469,562,388,487
ABCD1P2,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0
ABCD1P4,0,1,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0
ABCD2,2,1,2,1,0,0,0,1
ABCD3,1136,877,1066,660,1340,1509,927,892
ABCD4,649,468,785,338,640,655,599,577
ABCE1,859,933,893,565,1156,1702,757,807
ABCF1,1540,1422,1724,1025,2162,2549,1492,1275
ABCF2,1075,1342,1243,880,1599,2336,929,1135
ABCF2P1,0,0,0,0,0,2,0,0
ABCF2P2,0,0,0,0,0,0,0,0
ABCF3,777,641,983,467,973,1186,647,643
ABCG1,128,150,197,127,100,138,246,541
ABCG2,37,15,33,30,45,31,38,21
ABCG4,6,6,11,4,14,12,6,8
