chromosome	start	end	gene	log2	depth	probes	weight
1	15795	1961678	-	0.189571	102.178	606	181.331
1	1961678	32632897	-	0.0847704	85.024	5793	1902.81
1	32635482	55533406	-	0.00733326	77.3757	4306	1416.61
1	55533406	121313426	-	0.0753702	70.9945	6500	2283.45
1	142419497	145437961	-	0.303663	108.097	129	36.945
1	145438461	152185901	-	0.0911325	89.4924	1324	424.302
1	152185901	152286687	-	0.488646	132.42	51	14.2108
1	152286687	227071620	-	0.0773684	77.9919	10765	3668.84
1	227073238	249213089	-	0.170729	77.9043	2601	906.941
2	41608	31467316	-	0.350164	90.874	3101	1085.8
2	31472236	92130494	-	0.293458	82.571	5505	1940.95
2	95426674	135011329	-	0.327352	91.9187	3774	1279.98
2	135011829	152541489	-	0.151754	67.5373	1091	400.038
2	152543932	243102469	-	0.281738	85.7707	10530	3660.99
3	150500	15076316	-	-0.0529493	68.8284	1533	535.936
3	15079506	62431472	-	-0.128985	68.2767	6797	2288.64
3	62431972	73674072	-	-0.0474336	57.7912	702	262.902
3	73674572	90584270	-	0.0525104	42.5508	420	188.809
3	93441025	197907728	-	-0.00152438	68.0416	10501	3706.49
4	85621	49064093	-	0.352227	84.5141	4178	1504.85
4	52556934	62800057	-	0.361547	79.3093	658	243.56
4	62801640	190948412	-	0.286875	75.7368	9138	3366
5	143161	46436500	-	-0.160504	57.8596	3134	1147.81
5	49543576	130538439	-	-0.37984	47.9364	5702	2096.31
5	130538439	180688119	-	-0.33778	57.9529	6816	2336.32
6	150500	47975869	-	0.0806512	79.429	7315	2460.68
6	47976369	58743906	-	-0.0309199	65.4233	970	342.338
6	61781787	65531616	-	-0.0755597	46.8655	150	62.7289
6	65532543	170893748	-	-0.294179	52.8874	8654	3127.48
7	150500	959104	-	0.545604	109.523	115	39.489
7	959604	1590031	-	0.905581	152.353	161	52.7784
7	1590452	58130039	-	0.540957	97.1913	5034	1790.32
7	60962346	63529987	-	0.484763	39.2908	18	8.44753
7	63537653	64390122	-	0.914125	124.903	104	35.6126
7	64390122	65223304	-	0.62555	115.01	68	22.1015
7	65224161	77553238	-	0.367796	99.8532	1237	407.662
7	77553238	100612970	-	0.291429	89.6814	2767	944.867
7	100613470	100685240	-	0.580144	130.383	72	22.6995
7	100685240	116311958	-	0.299081	84.3781	1569	550.138
7	116312458	116527680	-	1.93359	242.914	38	13.8543
7	116528180	158937649	-	0.276421	84.2358	4659	1614.62
8	116087	11851631	-	-0.158996	57.6419	871	317.171
8	11853702	12291623	-	0.289359	124.754	39	9.31981
8	12579405	39644574	-	-0.137533	64.2011	2907	1016.76
8	39645603	41792385	-	0.0403832	70.9708	215	76.4552
8	41794773	42563359	-	0.271565	91.7378	140	46.3064
8	42563859	43819338	-	0.018224	68.8512	173	59.944
8	46972019	71075089	-	0.025525	62.9717	1616	598.246
8	71075699	144332959	-	0.0754005	64.6624	5017	1861.65
8	144332959	145741630	-	0.180009	96.1929	814	252.204
8	145741630	146280409	-	0.0793356	76.6416	187	65.6117
9	14725	8317150	-	0.0462714	67.3268	723	260.476
9	8317150	39072265	-	-0.081519	63.7136	2588	916.191
9	39073262	47384389	-	0.0505085	57.7682	109	40.3062
9	65746579	141134172	-	-0.0737491	71.3781	9587	3247.38
10	92827	39195494	-	-0.256725	55.3288	3266	1163.8
10	42221594	135440299	-	-0.26221	60.0365	10378	3586.36
11	127261	1263674	-	-0.215713	78.8885	622	191.394
11	1263939	1281958	-	0.110795	111.791	29	7.84086
11	1282618	51516209	-	-0.318367	56.9256	5736	1993.04
11	54723726	64991051	-	-0.232231	69.1593	2734	877.899
11	65000620	93065454	-	-0.29752	62.214	3951	1327.39
11	93065954	134281200	-	-0.25553	60.3811	4991	1736.65
12	87983	34936454	-	0.0471977	75.1215	4557	1554.69
12	37804391	133502656	-	0.0641238	78.36	13002	4401.49
12	133502656	133682635	-	-0.296227	39.0909	45	13.1431
12	133682635	133783695	-	0.207075	87.7992	45	15.8402
13	19408808	52768602	-	-0.364241	54.0441	3708	1294.64
13	52951304	115092802	-	-0.382694	45.305	3057	1172.25
14	18926469	20216291	-	0.171498	91.408	18	5.17266
14	20216291	90085494	-	-0.353666	55.322	7550	2624
14	90263470	106950441	-	-0.332982	59.6012	2655	891.503
15	20740723	22835969	-	0.260714	106.702	77	21.7568
15	22836062	85682370	-	0.0189475	76.3534	9230	3090.36
15	85924529	102514556	-	0.0622964	74.8124	1635	573.558
16	96999	2474768	-	0.0823849	93.8298	1361	420.689
16	2474977	35312291	-	0.0221462	81.8016	5030	1652.54
16	46504544	90142338	-	-0.0449704	74.527	6057	2026.47
17	6010	6554954	-	-0.0771019	79.2991	1874	610.095
17	6555058	11648401	-	-0.139553	77.2085	1733	544.725
17	11656149	18280578	-	-0.0625449	74.604	1032	340.849
17	18281078	18638437	-	0.183693	112.839	102	27.9241
17	18638437	22210132	-	-0.0412469	79.1021	458	150.051
17	25175760	53342960	-	-0.115421	75.8671	6577	2135.71
17	53345947	78322086	-	-0.0686669	75.4893	4772	1583.04
17	78323569	81188279	-	0.0278806	87.0309	1004	322.647
18	150500	15478931	-	-0.368125	53.8219	1415	490.985
18	18376690	78005397	-	-0.371671	47.9562	4353	1616.72
19	198381	11303006	-	0.116112	93.9164	4212	1321.68
19	11303506	12885711	-	0.221318	98.2595	651	210.337
19	12886218	22273380	-	0.140428	91.9662	2819	894.326
19	22273380	24649568	-	0.288698	83.7298	145	46.8947
19	27829177	43699425	-	0.134011	89.5793	3502	1134.22
19	43702148	49520347	-	0.0818423	88.4934	2045	656.473
19	49526126	49558997	-	0.654416	180.742	20	5.27796
19	49564398	52942126	-	0.115258	93.1697	1344	424.8
19	52942126	54080774	-	0.263414	99.5147	356	113.648
19	54080774	59095237	-	0.0645991	83.7525	1890	610.135
20	68350	26338195	-	0.349015	87.6841	2724	947.295
20	29313815	62907578	-	0.367156	98.8486	5530	1868.23
21	9306311	33245127	-	-0.0549217	52.8996	901	349.993
