chr	start	end	value
chr9	133589267	133763062	ABL1
chr4	87856153	88062206	AFF1
chr2	29415639	30144477	ALK
chr7	69063904	70257885	AUTS2
chr1	147013181	147098015	BCL9
chr22	23522551	23660224	BCR
chr7	140433812	140624564	BRAF
chr11	63527363	63536113	C11orf95
chr16	88941262	89043504	CBFA2T3
chr16	67063049	67134958	CBFB
chr19	42788816	42799949	CIC
chr7	73703804	73820273	CLIP2
chr17	48261456	48279000	COL1A1
chrX	1314886	1331529	CRLF2
chr5	139028300	139062680	CXXC5
chr13	72012097	72441330	DACH1
chr19	18553472	18632937	ELL
chr1	51819934	51984995	EPS15
chr19	16466054	16582823	EPS15L1
chr12	11802787	12048325	ETV6
chr22	29663997	29696515	EWSR1
chr11	128563810	128683162	FLI1
chr13	41129800	41240734	FOXO1
chr6	108882068	109005971	FOXO3
chr4	162305043	163085186	FSTL5
chr10	8096666	8117164	GATA3
chr16	4382215	4389598	GLIS2
chr14	52327021	52436518	GNG2
chr6	117879433	117925705	GOPC
chr12	121866899	122018920	KDM2B
chr7	138516126	138666064	KIAA1549
chr1	44584521	44600809	KLF17
chr11	118307204	118397539	KMT2A
chr5	179159850	179204287	MAML1
chrX	149531550	149682448	MAMLD1
chr10	30722949	30750762	MAP3K8
chr1	156433512	156460391	MEF2D
chr7	116312458	116438440	MET
chr22	40806291	41032690	MKL1
chr19	6210391	6279959	MLLT1
chr10	21823573	22032559	MLLT10
chr9	20344967	20622514	MLLT3
chr6	168227670	168372700	MLLT4
chr17	36861872	36886056	MLLT6
chr22	28144264	28197486	MN1
chr11	1490684	1507948	MOB2
chr16	15796991	15950887	MYH11
chr20	31028862	31174875	NOL4L
chr17	38249036	38256978	NR1D1
chr15	34638065	34649931	NUTM1
chrX	1581465	1656037	P2RY8
chr6	161768589	163148834	PARK2
chr2	223064605	223163715	PAX3
chr9	36838530	37034476	PAX5
chr15	74287013	74340155	PML
chr7	106685177	106802256	PRKAR2B
chr17	38465422	38513895	RARA
chr1	110881944	110889303	RBM15
chr11	65421066	65430443	RELA
chr6	117609529	117747018	ROS1
chr21	36160097	36421595	RUNX1
chr8	92967194	93107882	RUNX1T1
chr11	47376408	47400127	SPI1
chr1	47715810	47779819	STIL
chr2	37064840	37193615	STRN
chr1	47681962	47695443	TAL1
chr5	133450401	133483920	TCF7
chr5	1253286	1295162	TERT
chr11	8060179	8127654	TUB
chr17	5031686	5078324	USP6
chr11	32409321	32457081	WT1
chr11	101981191	102104154	YAP1
